description,clean,noised
accuracy_parse,0.9566787003610109,0.8194945848375451
accuracy_full,0.7003610108303249,0.26353790613718414
title_accuracy_parse,,
fn_accuracy_parse,0.9747292418772563,0.8844765342960289
mn_accuracy_parse,0.9646017699115044,0.911504424778761
ln_accuracy_parse,0.9675090252707581,0.8772563176895307
suffix_accuracy_parse,0.7142857142857143,0.7142857142857143
title_accuracy_full,,
fn_accuracy_full,0.8844765342960289,0.6462093862815884
mn_accuracy_full,0.8230088495575221,0.5486725663716814
ln_accuracy_full,0.8411552346570397,0.6209386281588448
suffix_accuracy_full,0.5714285714285714,0.5714285714285714
title_avg_dist_parse,,
fn_avg_dist_parse,0.148014440433213,0.592057761732852
mn_avg_dist_parse,0.10619469026548672,0.3185840707964602
ln_avg_dist_parse,0.16606498194945848,0.5523465703971119
suffix_avg_dist_parse,0.5714285714285714,0.5714285714285714
title_avg_dist_full,,
fn_avg_dist_full,0.259927797833935,0.8736462093862816
mn_avg_dist_full,0.3008849557522124,0.8761061946902655
ln_avg_dist_full,0.3212996389891697,0.9025270758122743
suffix_avg_dist_full,0.7142857142857143,0.7142857142857143
