description,clean,noised
accuracy_parse,0.9716312056737588,0.8120567375886525
accuracy_full,0.9078014184397163,0.43617021276595747
title_accuracy_parse,,
fn_accuracy_parse,0.9964539007092199,0.9078014184397163
mn_accuracy_parse,0.9626168224299065,0.8411214953271028
ln_accuracy_parse,0.9822695035460993,0.8723404255319149
suffix_accuracy_parse,0.8333333333333334,0.6666666666666666
title_accuracy_full,,
fn_accuracy_full,0.975177304964539,0.74822695035461
mn_accuracy_full,0.8598130841121495,0.6448598130841121
ln_accuracy_full,0.975177304964539,0.6879432624113475
suffix_accuracy_full,0.8333333333333334,0.7777777777777778
title_avg_dist_parse,,
fn_avg_dist_parse,0.02127659574468085,0.42907801418439717
mn_avg_dist_parse,0.08411214953271028,0.5327102803738317
ln_avg_dist_parse,0.08865248226950355,0.524822695035461
suffix_avg_dist_parse,0.3333333333333333,0.6111111111111112
title_avg_dist_full,,
fn_avg_dist_full,0.04609929078014184,0.624113475177305
mn_avg_dist_full,0.2523364485981308,0.8504672897196262
ln_avg_dist_full,0.09929078014184398,0.7624113475177305
suffix_avg_dist_full,0.3333333333333333,0.4444444444444444
