description,clean,noised
accuracy_parse,0.9487179487179487,0.7948717948717948
accuracy_full,0.7802197802197802,0.336996336996337
title_accuracy_parse,,
fn_accuracy_parse,0.9633699633699634,0.8754578754578755
mn_accuracy_parse,0.9611650485436893,0.8252427184466019
ln_accuracy_parse,0.9560439560439561,0.8498168498168498
suffix_accuracy_parse,0.8125,0.6875
title_accuracy_full,,
fn_accuracy_full,0.9084249084249084,0.6263736263736264
mn_accuracy_full,0.8252427184466019,0.6504854368932039
ln_accuracy_full,0.8937728937728938,0.6483516483516484
suffix_accuracy_full,0.75,0.5625
title_avg_dist_parse,,
fn_avg_dist_parse,0.18315018315018314,0.5201465201465202
mn_avg_dist_parse,0.20388349514563106,0.6893203883495146
ln_avg_dist_parse,0.23076923076923078,0.5714285714285714
suffix_avg_dist_parse,0.1875,0.375
title_avg_dist_full,,
fn_avg_dist_full,0.23809523809523808,0.8168498168498168
mn_avg_dist_full,0.3592233009708738,0.9611650485436893
ln_avg_dist_full,0.29304029304029305,0.8241758241758241
suffix_avg_dist_full,0.25,0.5625
