description,clean,noised
accuracy_parse,0.9822695035460993,0.7730496453900709
accuracy_full,0.9468085106382979,0.3971631205673759
title_accuracy_parse,,
fn_accuracy_parse,0.9964539007092199,0.8865248226950354
mn_accuracy_parse,0.9906542056074766,0.8504672897196262
ln_accuracy_parse,0.9858156028368794,0.8546099290780141
suffix_accuracy_parse,0.8888888888888888,0.6111111111111112
title_accuracy_full,,
fn_accuracy_full,0.9929078014184397,0.7446808510638298
mn_accuracy_full,0.9626168224299065,0.6915887850467289
ln_accuracy_full,0.9680851063829787,0.6595744680851063
suffix_accuracy_full,0.8333333333333334,0.7222222222222222
title_avg_dist_parse,,
fn_avg_dist_parse,0.02127659574468085,0.4645390070921986
mn_avg_dist_parse,0.009345794392523364,0.6261682242990654
ln_avg_dist_parse,0.07092198581560284,0.5567375886524822
suffix_avg_dist_parse,0.2777777777777778,0.6666666666666666
title_avg_dist_full,,
fn_avg_dist_full,0.024822695035460994,0.5957446808510638
mn_avg_dist_full,0.056074766355140186,0.8878504672897196
ln_avg_dist_full,0.09219858156028368,0.8120567375886525
suffix_avg_dist_full,0.3333333333333333,0.5
