original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
Fujiwara No Atsutada,Fujiwara N Atsutada,Fujiwara,N,Atsutada,,
"Bali, Rai Umanath","Bali, Rai CUmanath",Rai,Cmanath,Bali,,
E A Smythies,"E,A Smythies",A,Smythies,E,,
Mir Khasim Ali,Mir KhasimAli,Miro,Khasim,Ali,,
"Sirohi, Giri Raj Singh","Siroh, Giri Raj Singh",Giri,Raj Singo,Siroh,,
George W Hunter,George W Bunter,George,W,Bunter,,
"Nakafumi, Fujiwara No","Nakafumi, Fujiwaea No",Fujiwaea,No,Nakafumi,,
J P Dutta,JP Dutta,J,,Dutta,,
"Ajnala, Rattan Singh","Ajnalva, Rattan Singh",Rattan,Singh,Ajnalva,,
"Sharma, Som Nath","Sharma, om Nath",om,Nath,Sharma,,
Fujiwara No Toshihito,Fujiwar No Toshihito,Fujiwar,No,Toshihito,,
"Vacuum, Red Bacteria","Vacuum, Red 5acteria",Red,Nacteria,Vacuum,,
Gurmit Singh Aulakh,"Gurmit S,ingh Aulakh",Gurmit,Svingh,Aulakh,,
"Swee, Goh Keng",Swee  Goh Keng,Swee,Goh,Keng,,
Haing S Ngor,Haing SNgor,Haing,,Sagor,,
"Deora, Milind Murli",Deora Milind Murli,Deora,Milind,Murli,,
Baldev Singh Dhillon,BalWdev Singh Dhillon,Basdev,Singh,Dhillon,,
"Tso, Yee Jee","Tso, Yee Jed",Yee,Jed,Tso,,
John Alexander Low Waddell,John AleLander Low Waddell,John,Alexandar Low,Waddell,,
"Khan, Azmi Maulana Obaidullah","Khan, Azmi Maulanal Obaidullah",Azmi,Maulanal Obaidullah,Khan,,
"Yoshitsuna, Minamoto No","Yoshitsuna, MiPnamoto No",Mi,Pnamoto No,Yoshithuna,,
Lai Chee Ying,Lai Chee Ning,Lai,Chee,Ning,,
"Cheuk, Poon Yiu","Cheuk, Poon YAu",Poon,Au,Cheuk,,
"American, Punjabi Mexican","American, Punjabi exican",Punjabi,Oeican,American,,
"Yoshinari, David Soria","Yoshinari, Davld Soria",Davld,Soria,Yoshinari,,
Amolak Rathan Kohli,Amolak Rathan 5Kohli,Amolak,Rathan,Kolli,,
"Jadeja, Ravindra Singh","Jadeja, RUavindra Singh",R,Uavindra Singh,Jadeja,,
P Paul Verma,P PaSul Verma,P,Pauli,Verma,,
"Thakur, Ram Singh","Thaur, Ram Singh",Ram,Singh,Thaur,,
Tonse Madhav Ananth Pai,Tons Madhav Ananth Pai,Tons,Madhavi Ananth,Pai,,
"Jeong, Seo Hye","Jeong, Se9 Hye",Se,Hye,Jeong,,
Abhinn Shyam Gupta,Abhinn Shtam Gupta,Abhinn,Shtam,Gupta,,
"Gill, Piara Singh","Gill, Piara Sinvh",Piara,Sinvh,Gill,,
Ma Mon Luk,Ma Mon Lu,Ma,Mon,Lu,,
"Wan, Khaw Boon","Wa, Khaw Boon",Kha,Boon,Wa,,
Kulwant Singh Pannu,Kulwrant Singh Pannu,Singh,Pannu,Kulwrant,,
Mohamed Ali Khan Walajan,Mohamed AliKhan Walajan,Mohamed,Alishan,Walajan,,
"Fusasaki, Fujiwara No","Fusasaki, Fumjiwara No",Fumjiwara,No,Fusasaki,,
Muzammil H Siddiqi,Muzammil H SiddiUqi,Muzammil,H,Siddizi,,
Liu Kai Chi,Liu Ki Chi,Liu,Ki,Chi,,
Premindra Singh Bhagat,Premindr Singh Bhagat,Premindr,Singh,Bhagat,,
"Kanemichi, Fujiwara No","Kanemichi, Fujiwaba No",Fujiwaba,No,Kanemichi,,
Oh Man Seok,O Man Seok,O,Man,Seok,,
Kim Kwan Cheol,Kim Kwan CBeol,Kim,Kwan C,Beol,,
"Akimitsu, Fujiwara No","Akimitsu, hujiwara No",hujiwara,No,Akimitsu,,
"Chan, Ngeow Sze","Cha, Ngeow Sze",Ngeow,Sze,Cha,,
Vishnu Sakharam Khandekar,Vihnu Sakharam Khandekar,Vihnu,Sakharam,Khandekar,,
Tsutsui Jomyo Meishu,Tsutsui  Jomyo Meishu,Jomyo,Meishu,Tsutsui,,
"Naiker, D K","Naiker,,D K",Di,K,Naiker,,
Brij Lal Varma,Brii Lal Varma,Brii,Lal,Varma,,
"Urs, D Devaraj","Ur, D Devaraj",D,Devaraj,Ur,,
"Patel, H M","Patel,  H M",H,,Patel,,MD
"Sano, Roy I","Sanl, Roy I",Roy,I,Sanl,,
Cathy Bao Bean,Cathy ao Bean,Cathy,Ao,Bean,,
Nirmal Jit Singh Sekhon,Nirmal Jit Singh SRekhon,Nirmal,Jit Singh,Skekoon,,
"Yue, Wong Chun","Ye, Wong Chun",Wong,Chun,Ye,,
Cheung Man Kwong,Cheung Man Kong,Cheung,Man,Kong,,
"Basheer, Vaikom Muhammad","Bashee9, Vaikom Muhammad",Vaikom,Muhammad,Bashee,,
"Sang, Gaston Tong","Sang, Gavton Tong",Gavton,Tong,Sang,,
"Yin, Chung Ho",Yin Chung Ho,Yin,Chung,Ho,,
Bhai Taru Singh,"Bhai,Taru Singh",Taru,Singh,Bhai,,
Qin Er Shi,Qif Er Shi,Qif,Er,Shi,,
Muhammad Hidayat Ullah,Mumhammad Hidayat Ullah,Mumhammad,Hidayat,Ullah,,
"Baba, Sant Gadge","Babz, Sant Gadge",Sant,Gadge,Babz,,
Mani Damodara Chakyar,Mlani Damodara Chakyar,Mlani,Damodara,Chakyar,,
"Singh, Bhai Taru","Singh, Bha Taru",Bha,Taru,Singh,,
R V Raveendran,R V Raveendr9an,R,V,Raveendra,,
"Ki, Chan Siu","Ki, Chan Si",Chan,,Ki,,Sr
"Chuen, Tsang Lap","Chupen, Tsang Lap",Tsang,Lap,Chupen,,
Girdhari Lal Bhargava,"Girdhari Lal,Bhargava",Lal,Bhargava,Girdhari,,
Pan Yin Tze,Pan in Tze,Panin,,Tze,,
Kenji Kosaka,Kehji Kosaka,Kehji,,Kosaka,,
"Daqian, Zhang","Daqian, Znang",Znang,,Daqian,,
Hu Jinguang,H Jinguang,Jinguang,,H,,
Frederic Thesiger,Frederic Thlsiger,Frederic,,Thlsiger,,
"Yunhe, Pan","Yunhe, Pax",Pax,,Yunhe,,
Gengshi Han,Gen2shi Han,Han,,Genshi,,
"Amritraj, Vijay",Amritraj Vijay,Amritraj,,Vijay,,
Satoru Iwata,Satoru Iata,Satoru,,Iata,,
"Umino, Chica",Umino Chica,Umino,,Chica,,
"Rana, Jadi",Rana. Jadi,Rana,,Jadi,,
Motohisa Furukawa,Motohisa FurMukawa,Motohisa,Fur,Mukawa,,
"Tang, Ai","Tan, Ai",Ai,,Tan,,
Takashi Ishizeki,Takashi Ishizfeki,Takashi,,Ishizzeki,,
"Seigen, Go","Seigen, G",G,,Seigen,,
Dinshah Irani,Dinshah Irasni,Dinshah,,Irasni,,
"Mochizuki, Masaaki","Mochizuki, Masaki",Masaki,,Mochizuki,,
Jal Cooper,Jal Coope,Jal,,Coope,,
Cang Xin,Cang 0Xin,Cang,,Ain,,
"Kowashi, Inoue","Kowahi, Inoue",Inoue,,Kowahi,,
Nobuyoshi Kuwano,Nobuyosh Kuwano,Nobuyosh,,Kuwano,,
"Morishima, Takeshi",Morishima Takeshi,Morishima,,Takeshi,,
Kansei Nakano,Kanzei Nakano,Kanzei,,Nakano,,
Eiji Iwamoto,UEiji Iwamoto,Ujiji,,Iwamoto,,
"Srivastav, Raju","Srivastav,, Raju",Raju,,Srivastava,,
"Mupnar, Perumal",Mupnar  Perumal,Mupnar,,Perumal,,
Lai Heng,Lai Yeng,Lai,,Yeng,,
Takashi Otsuka,2akashi Otsuka,Kakashi,,Otsuka,,
"Yucheng, Wang","ucheng, Wang",Wang,,Mcheng,,
Chen Jieru,Chen JiUeru,Chen,,Jiveru,,
Honda Tadamasa,Honda Tadamasa,Honda,,Tadamaaa,,
"Chikafusa, Kitabatake","Chikafusa, Kitaatake",Kitaatake,,Chikafusa,,
Janardhana Poojary,Janfardhana Poojary,Janfardhan,a,Poojary,,
"Taniguchi, Tomoko","Faniguchi, Tomoko",Tomoko,,Faniguchi,,
Hirohiko Araki,Hirohko Araki,Hirohko,,Araki,,
Ieng Sary,Iens Sary,Iens,,Sary,,
Yang Guozhong,Yang Guozhohg,Yang,,Guozhohg,,
"Adhikari, Hemu","Adhikari, Hem",Hem,,Adhikari,,
Chino Moreno,hino Moreno,Nino,,Moreno,,
"Ito, Tatsuya","Uto, Tatsuya",Tatsuya,,Uto,,
"Sadamasa, Okudaira","Sadamasa, OkudaQra",Okuda,,Sadamasa,,Jr
Elijah Impey,Elijwh Impey,Elija,,Impey,,
"Singh, Bijendra","Singh, BTjendra",Bjendra,,Singh,,
"Lim, Hyun","Lim, Hyub",Hyub,,Lim,,
Weichang Chien,Weidhang Chien,Weidhan,,Chien,,
"Peshwe, Moropant","Yeshwe, Moropant",Moropant,,Yeshwe,,
Kumar Navaratnam,Kuma Navaratnam,Kuma,,Navaratnam,,
"Saluja, Renu","Saluja, Fenu",Fenu,,Saluja,,
Jayarama Reddy,ayarama Reddy,Ayarama,,Reddy,,
Dodda Ganesh,Ddda Ganesh,Ganesh,,Ddda,,
"Ranatunga, Nishantha","Rasatunga, Nishantha",Nishantha,,Rasatunga,,
Yutaka Higuchi,PYutaka Higuchi,P,Yutaka,Higuchi,,
Pohl Trial,Pohl  rial,Rial,,Pohl,,
"Junjiro, Takakusu",Junjiro. Takakusu,Junjiro,,Takakusu,,
"Xizhi, Wang",Xizhi Wang,Xizhi,,Wang,,
Shiv Chopra,Shiv Cho4pra,Shiv,,Choppra,,
"Watanabe, Tomoyoshi","Watanabe, Tmoyoshi",Tmoyoshi,,Watanabe,,
Shivappa Nayaka,Shivappa Naaka,Shivappa,,Naaka,,
"Devi, Leela","Devi, Leelaa",Leelaa,,Devi,,
Pang Jiaying,Png Jiaying,Png,,Jiaying,,
"Tadashige, Takatoriki","Tadashige, Takatorik",Takatorik,,Tadashige,,
Shinji Wada,Shinj Wada,Shinj,,Wada,,
"Singh, Gurnam","Sjingh, Gurnam",Gurnam,,Sjingh,,
Takashi Inui,Takshi Inui,Takshi,,Inui,,
"Kurihara, Harumi","Kurihlra, Harumi",Harumi,,Kurihura,,
Bobby Deol,Bobby eol,Bobby,,Eol,,
"Gongyao, Zhang","GongyaBo, Zhang",Zhang,,Gongyalo,,
"Nair, Damodran","Nai, Damodran",Damodran,,Nai,,
Liu Chuyu,Lu Chuyu,Lu,,Chuyu,,
Micheal Nakamura,Micheal Nakaaura,Micheal,,Nakaaura,,
Rajshree Pathy,Rajsheee Pathy,Rajsheee,,Path,,
"Yumemakura, Baku","Yumemakura, Bsku",Bsku,,Yumemakura,,
"Du Rowa, Gateau","Du Rowa, Gwteau",Rowa,Gwteal,Du,,
Gong Lijiao,Gozng Lijiao,Gozng,,Lijiao,,
"Pandit, Ramai","Panqit, Ramai",Ramai,,Pangit,,
Raj Narain,Ran Narain,Ran,,Narain,,
"Kondo, Koji","KJondo, Koji",Koji,,Jondo,,
"Naoyori, Shinjo","Naoyori, Shino",Shino,,Naoyori,,
Ma Zhong,M Zhong,M,,Zhong,,
"Panchbhai, Bhau",Panchbhai. Bhau,Panchbhai,,Bhau,,
Sun Xiu,Sun iu,Sun,,Lu,,
"Guangyi, Wang","Guwngyi, Wang",Wang,,Gunngyi,,
Keel Lorentz,Keel Lorenz,Keel,,Lorenz,,
Hughes Eng,"Hughes,Eng",Eng,,Hughes,,
"Tong, Zhou","Tong, Zuou",Zuou,,Tong,,
Nainendra Nand,Jainendra Nand,Jainendra,,Nand,,
"Fzono, Aqi","Fzzono, Aqi",Aqi,,Fzzono,,
"Nijimura, Okuyasu","Nijimur, Okuyasu",Okuyasu,,Nijimur,,
