original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
E A Smythies,"E,A Smythies","E,A",,Smythies,,
Mir Khasim Ali,Mir KhasimAli,Khasim,,Ali,Mir,
"Joshi, B C","Joshi,  B C",B C,,Joshi,,
J P Dutta,JP Dutta,JP,,Dutta,,
"Swee, Goh Keng",Swee  Goh Keng,Swee ,Goh,Keng,,
Haing S Ngor,Haing SNgor,Haing,,SNgor,,
"Deora, Milind Murli",Deora Milind Murli,Deora,Milind,Murli,,
"Gupta, N C Sen","Gupta,  N C Sen",N,C,Gupta,,Sen
"Yoshitsuna, Minamoto No","Yoshitsuna, MiPnamoto No",Mi,Pnamoto No,Yoshitsuna,,
Ma Mon Luk,Ma Mon Lu,Mon,,Lu,Ma,
Mohamed Ali Khan Walajan,Mohamed AliKhan Walajan,Mohamed,AliKhan,Walajan,,
V R Naren Kumar,V R NarenKumar,V R,Naren,Kumar,,
"Kania, H J","Kania,,H J",H,J,"Kania,",,
"Naiker, D K","Naiker,,D K",D,K,"Naiker,",,
"Patel, H M","Patel,  H M",H,,Patel,, M
"Yin, Chung Ho",Yin Chung Ho,Yin,Chung,Ho,,
Bhai Taru Singh,"Bhai,Taru Singh",Taru,Singh,Bhai,,
"Rao, Akkineni Nageswara","Rao,, Akkineni Nageswara",Akkineni,Nageswara,"Rao,",,
R V Raveendran,R V Raveendr9an,R,V,Raveendr9a,,n
"Ki, Chan Siu","Ki, Chan Si",Chan,,Ki,,Si
Girdhari Lal Bhargava,"Girdhari Lal,Bhargava","l,",Bhargava,Girdhari L,,
"Eng, Yeap Cheng","Eng,, Yeap Cheng",Yeap,Cheng,"Eng,",,
Pan Yin Tze,Pan in Tze,Pan in,,Tze,,
"Suda, Issei","Suda,.Issei",.Issei,,Suda,,
Hu Jinguang,H Jinguang,Jinguang,,H,,
"Amritraj, Vijay",Amritraj Vijay,Amritraj,,Vijay,,
"Umino, Chica",Umino Chica,Umino,,Chica,,
"Rana, Jadi",Rana. Jadi,Rana.,,Jadi,,
Motohisa Furukawa,Motohisa FurMukawa,Motohisa,Fur,Mukawa,,
"Vora, Motilal","Vora,,Motilal",Motilal,,"Vora,",,
"Morishima, Takeshi",Morishima Takeshi,Morishima,,Takeshi,,
"Srivastav, Raju","Srivastav,, Raju",Raju,,"Srivastav,",,
"Mupnar, Perumal",Mupnar  Perumal,Mupnar,,Perumal,,
"Zhuo, Dong","Zhuo,,Dong",Dong,,"Zhuo,",,
Janardhana Poojary,Janfardhana Poojary,Janfardhan,a,Poojary,,
Tiruppur Kumaran,Tiruppur  Kumaran,Tiruppur,, Kumaran,,
Gao Qipei,Gao.Qipei,Qipei,,Gao,,
"Takamachi, Nanoha","Takamachi,, Nanoha",Nanoha,,"Takamachi,",,
Hirohiko Araki,Hirohko Araki,Araki,,Hirohko,,
"Sadamasa, Okudaira","Sadamasa, OkudaQra",Okuda,Qra,Sadamasa,,
"Guan, Tong","Guan,, Tong",Tong,,"Guan,",,
"Shoujing, Guo","Shoujing,, Guo",Guo,,"Shoujing,",,
Yutaka Higuchi,PYutaka Higuchi,P,Yutaka,Higuchi,,
Pohl Trial,Pohl  rial,rial,,Pohl,,
"Junjiro, Takakusu",Junjiro. Takakusu,Junjiro.,,Takakusu,,
Yang Bo,Yang  Bo,Yang,, Bo,,
"Xizhi, Wang",Xizhi Wang,Xizhi,,Wang,,
"Kakichi, Uchida","Kakichi,, Uchida",Uchida,,"Kakichi,",,
Shivappa Nayaka,Shivappa Naaka,Naaka,,Shivappa,,
Pang Jiaying,Png Jiaying,Jiaying,,Png,,
Reema Sen,Reema.Sen,Reema.,,Sen,,
"Panchbhai, Bhau",Panchbhai. Bhau,Panchbhai,,Bhau,,
Hughes Eng,"Hughes,Eng",Eng,,Hughes,,
Ashikaga Tadayoshi,"Ashikaga,Tadayoshi",Tadayoshi,,Ashikaga,,
"Zan, Ni",Zan Ni,Zan,,Ni,,
"Zhaoying, Ye","Zhaoying,.Ye",.Ye,,Zhaoying,,
Rajendra Chola III,"Rajendra,Chola III",Chola,,Rajendra,,III
Shah Jahan III,Shah Kahan III,Kahan,,Shah,,III
Veera Ballala I,Veera Ballaa I,Veera,Ballaa,I,,
Wakanohana Kanji II,akanohana Kanji II,Kanji,,akanohana,,II
Narasaraja Wodeyar II,Narasaraja Wodeyar I,Narasaraja,Wodeyar,I,,
Parantaka Chola II,Parantaka Chola VI,Parantaka,Chola,VI,,
