original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
"Nakafumi, Fujiwara No","Nakafumi, Fujiwara No",Fujiwara,Noo,Nakafumi,,
"Ajnala, Rattan Singh","Ajnala, Rattan Singh",Rattan,Singh,Ainala,,
"Yoshitsuna, Minamoto No","Yoshitsuna, Minamoto No",Minamoto,Noe,Yoshittuna,,
Amolak Rathan Kohli,Amolak Rathan Kohli,Amolak,Rathana,Kohli,,
Liu Kai Chi,Liu Kai Chi,Liu,Kai,Ch,,
"Akimitsu, Fujiwara No","Akimitsu, Fujiwara No",Fujiwara,No,Alimitsu,,
Tsutsui Jomyo Meishu,Tsutsui Jomyo Meishu,Jomyo,Meishu,Tsutsui,,
Brij Lal Varma,Brij Lal Varma,Bri,Lal,Varma,,
"Patel, H M","Patel, H M",H,,Patel,,MD
Bhai Taru Singh,Bhai Taru Singh,Bha,Taru,Singh,,
"Ki, Chan Siu","Ki, Chan Siu",Chan,Si,Ki,,
"Eng, Yeap Cheng","Eng, Yeap Cheng",Yea,Cheng,Eng,,
Hu Jinguang,Hu Jinguang,Jinguang,,Hu,,
"Agnihotri, Bharat","Agnihotri, Bharat",Bharati,,Agnihotri,,
Song Zheyuan,Song Zheyuan,Zheyuan,,Song,,
"Tang, Ai","Tang, Ai",A,,Tang,,
Jal Cooper,Jal Cooper,Ja,,Cooper,,
Nobuyoshi Kuwano,Nobuyoshi Kuwano,Nobyyoshi,,Kuwano,,
Chen Jieru,Chen Jieru,Jieru,,Chen,,
Tiruppur Kumaran,Tiruppur Kumaran,Tiroppur,,Kumaran,,
Gao Qipei,Gao Qipei,Qipei,,Gao,,
Yang Guozhong,Yang Guozhong,Guowhong,,Yang,,
"Shoujing, Guo","Shoujing, Guo",Guo,,Shousing,,
Pohl Trial,Pohl Trial,Trial,,Pohl,,
"Du Rowa, Gateau","Du Rowa, Gateau",Rowal,Gateau,Du,,
Hughes Eng,Hughes Eng,Eng,,Hughes,,
Mir Qasim,Mir Qasim,Qasim,,Mir,,
Kulothunga Chola I,Kulothunga Chola I,Chola,I,Kulothunga,,
Veera Ballala I,Veera Ballala I,Veera,,Ballala,,IV
Wakanohana Kanji II,Wakanohana Kanji II,Wakanahana,,Kanji,,II
Virupaksha Raya II,Virupaksha Raya II,Virupaksha,,Raya,,III
Mihira Bhoja I,Mihira Bhoja I,Mihira,,Bhoja,,IV
Raja Raja Chola I,Raja Raja Chola I,Raja,Chola I,Raja,,
