original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
Michael L Williams,Michael L illiams,Michael,L, illiams,,
"Ashton, Thomas Gair","Ashton,, Thomas Gair",Thomas,Gair,"Ashton,",,
"Bush, Stephen J","Bush, StepheM J",Stephe,M J,Bush,,
Henry William Bunbury,Henry William BunbGury,Henry,William Bunb,Gury,,
"Waterhouse, John William","Waterhouse,.John William",.John,William,Waterhouse,,
G D'Arcy Boulton,"G D'Arcy,Boulton",D'Arcy,",Boulton",G,,
"Webb, George James",Webb. George James,Webb.,George,James,,
"Davies, Hugh Sykes","Davies, Hugh SyKes",Hugh,Sy,Davies,,Kes
"Walter, Alan Fitz","Walter,.Alan Fitz",.Alan,Fitz,Walter,,
"Conway, John S","Cnway, John S",John,,Cnway,,S
"Croker, John Wilson",Croker John Wilson,Croker,John,Wilson,,
Innes Harold Stranger,Innes.Harold Stranger,Innes,.Harold,Stranger,,
"Strong, Samuel Henry","StrPong, Samuel Henry",Samuel,Henry,Pong,Str,
"Englander, A A","Englander, AA",AA,,Englander,,
Little Jack Little,Little.Jack Little,Little,.Jack,Little,,
Charles Hesterman Merz,"Charles Hesterman,Merz",Charles,,Hesterman,,",Me"
John Cooper Forster,"John Cooper,Forster",John,,Cooper,,",Fo"
"Williams, Thomas H","Williams, Thomas,H","Thomas,H",,Williams,,
"Fuller, Meta Vaux Warrick","Fuller, Meta VauxWarrick",Meta,VauxWarric,Fuller,,k
"Wigington, Clarence W","Wigington,, Clarence W",Clarence,W,"Wigington,",,
William F Woodington,"William F,Woodington","F,",Woodington,William,,
"Simms, George Otto","Simms, George ,Otto",George ,",Otto",Simms,,
"Pillay, Gerald J","Pillay,, Gerald J",Gerald,J,"Pillay,",,
"Blumenthal, Heston","uBlumenthal, Heston",",",Heston,uBlumentha,,
"Holdsworth, Dean","Hol8dsworth, Dean",",",Dean,Hol8dswort,,
Brian Greene,BriaH Greene,Bria,H,Greene,,
"Willingham, Ken","Willingham,, Ken",",",Ken,Willingham,,
"David, Dharshini","David,, Dharshini",Dharshini,,"David,",,
Richard Jugge,Richard hJugge,Richard,h,Jugge,,
Nicola Stanbridge,Nicola StanbridgFe,Nicola,,StanbridgF,,e
Michael Harris,MicDhael Harris,Mic,Dhael,Harris,,
Drew Bledsoe,Drew BledsoLe,Drew,Bledso,Le,,
David Bailey,David.Bailey,David.,,Bailey,,
"Wolfram, Stephen",Wolfram. Stephen,Wolfram.,,Stephen,,
"Hollins, Ellis","Hollins,,Ellis",Ellis,,"Hollins,",,
"Reid, Alex","Reid,.Alex",.Alex,,Reid,,
Sean Haslegrave,Sean Hasleghrave,Sean,,Hasleghrav,,e
William King,William ing,William,, ing,,
"Lake, Greg","Lake,,Greg",Greg,,"Lake,",,
"Curr, Edward",Curr Edward,Curr,,Edward,,
Falconer Madan,Falconer Mhadan,Mhadan,,Falconer,,
William Foulke,William FDulke,William,F,Dulke,,
"Midgley, Gladys",Midgley. Gladys,Midgley.,,Gladys,,
"Hill, Oliver","Hill,, Oliver",Oliver,,"Hill,",,
"Hunt, Kenneth","Hunt,, Kenneth",Kenneth,,"Hunt,",,
Richard Grimsdale,RicharAd Grimsdale,Richar,Ad,Grimsdale,,
Andrew Wilson,Andrew WilsLon,Andrew,Wils,Lon,,
Barry Quinn,"Barry,Quinn",Quinn,,Barry,,
John Whitbourn,"John,Whitbourn",Whitbourn,,John,,
"Brereton, William",Brereton  William,Brereton,,William,,
"Thomas, Sandy",Thomas. Sandy,Thomas.,,Sandy,,
Gilbert Longden,GilbeIt Longden,Gilbe,It,Longden,,
Nigel Roebuck,Nigel.Roebuck,Nigel.,,Roebuck,,
Michael Horovitz,"Michael,Horovitz",Horovitz,,Michael,,
Robert Bell,Robrt Bell,Rob,rt,Bell,,
Tony Di Bart,Tony Di aBart,Tony,Di,aBart,,
George Beet Jnr.,George B0eet Jnr.,George,,B0eet,,Jnr
Andrew Hugine Jr.,Andrew Hugine Jr..,Andrew,,Hugine,,Jr.
Thomas Tresham I,Thoas Tresham I,Tresham,I,Thoas,,
Thomas Assheton Smith I,Thomas Assheton Zmith I,Thomas,Assheton Zmith,I,,
Aubrey De Vere III,Augbrey De Vere III,De,Vere,Augbrey,,III
John Shaw Jr,"John Shaw,Jr",John,,"Shaw,",,Jr
John Wesley Work III,John Wesley Work.III,John,Wesley,Work,,.II
Joseph Burke II,Joseph Burke RI,Joseph,Burke,RI,,
