original,noised,predicted first,predicted middle,predicted last,predicted title,predicted suffix
Mir Khasim Ali,Mir Khasim Ali,Khasim,,Ali,Mir,
"Gupta, N C Sen","Gupta, N C Sen",N C,Sen,Gupta,,
"Nanavati, G T","Nanavati, G T",G T,,Nanavati,,
Ma Mon Luk,Ma Mon Luk,Mon,,Luk,Ma,
V R Naren Kumar,V R Naren Kumar,V R,Naren,Kumar,,
"Kania, H J","Kania, H J",H J,,Kania,,
"Patel, H M","Patel, H M",H,,Patel,,M
V K Krishna Menon,V K Krishna Menon,V K,Krishna,Menon,,
Hu Jinguang,Hu Jinguang,Jinguang,,Hu,,
Chen Jieru,Chen Jieru,Jieru,,Chen,,
Yang Guozhong,Yang Guozhong,Guozhong,,Yang,,
Pohl Trial,Pohl Trial,Trial,,Pohl,,
Hughes Eng,Hughes Eng,Eng,,Hughes,,
Mir Qasim,Mir Qasim,Qasim,,Mir,,
Kulothunga Chola I,Kulothunga Chola I,Chola,,Kulothunga,,I
Veera Ballala I,Veera Ballala I,Veera,Ballala,I,,
Wakanohana Kanji II,Wakanohana Kanji II,Kanji,,Wakanohana,,II
Mihira Bhoja I,Mihira Bhoja I,Mihira,Bhoja,I,,
Parantaka Chola II,Parantaka Chola II,Pa,rantaka,Chola,,II
Raja Raja Chola I,Raja Raja Chola I,Raja,Chola I,Raja,,
